description,category
TIM HORTONS,Food
A&W,Food
MCDONALD'S,Food
BURGER KING,Food
WENDY'S,Food
DAIRY QUEEN,Food
KFC,Food
POPEYES,Food
SUBWAY,Food
PIZZA PIZZA,Food
DOMINO'S PIZZA,Food
PIZZA HUT,Food
LITTLE CAESARS,Food
BOSTON PIZZA,Food
SWISS CHALET,Food
HARVEY'S,Food
ST-HUBERT,Food
WHITE SPOT,Food
EAST SIDE MARIO'S,Food
MILESTONES,Food
THE KEG,Food
CACTUS CLUB CAFE,Food
EARLS,Food
MOXIES,Food
ORIGINAL JOE'S,Food
DENNY'S,Food
IHOP,Food
CHIPOTLE,Food
FRESHII,Food
BOOSTER JUICE,Food
JUGO JUICE,Food
SECOND CUP,Food
STARBUCKS,Food
CHURCH'S CHICKEN,Food
MARY BROWN'S,Food
NEW YORK FRIES,Food
BEAVERTAILS,Food
CINNABON,Food
KRISPY KREME,Food
BASKIN ROBBINS,Food
GONG CHA,Food
A&W CANADA,Food
SOBEYS,Groceries
SAFEWAY,Groceries
LOBLAWS,Groceries
METRO,Groceries
NO FRILLS,Groceries
REAL CANADIAN SUPERSTORE,Groceries
SAVE-ON-FOODS,Groceries
FRESHCO,Groceries
IGA,Groceries
LONGO'S,Groceries
FARM BOY,Groceries
T&T SUPERMARKET,Groceries
FOOD BASICS,Groceries
YOUR INDEPENDENT GROCER,Groceries
FOODLAND,Groceries
MAXI,Groceries
CANADIAN TIRE,Shopping
WALMART,Shopping
COSTCO,Shopping
HUDSON'S BAY,Shopping
WINNERS,Shopping
MARSHALLS,Shopping
HOMESENSE,Shopping
IKEA,Shopping
BEST BUY,Shopping
STAPLES,Shopping
INDIGO,Shopping
CHAPTERS,Shopping
DOLLARAMA,Shopping
GIANT TIGER,Shopping
MARK'S,Shopping
SPORT CHEK,Shopping
STRUCTUBE,Shopping
LEON'S,Shopping
THE BRICK,Shopping
HOME DEPOT,Shopping
RONA,Shopping
LOWE'S,Shopping
UNIQLO,Shopping
H&M,Shopping
ZARA,Shopping
OLD NAVY,Shopping
GAP,Shopping
ARITZIA,Shopping
LULULEMON,Shopping
SEPHORA,Shopping
MAC COSMETICS,Shopping
WELL.CA,Shopping
MICHAELS,Shopping
PETSMART,Shopping
PET VALU,Shopping
AMAZON.CA,Shopping
EBAY.CA,Shopping
COLUMBIA SPORTSWEAR,Shopping
ARDENE,Shopping
LA VIE EN ROSE,Shopping
BLUENOTES,Shopping
SIMONS,Shopping
REITMANS,Shopping
MIRRORS HAIR SALON,Shopping
GREAT CLIPS,Shopping
FIRST CHOICE HAIRCUTTERS,Shopping
ROGERS,Utilities
BELL,Utilities
TELUS,Utilities
FIDO,Utilities
KOODO,Utilities
VIRGIN PLUS,Utilities
FREEDOM MOBILE,Utilities
CHATR,Utilities
PUBLIC MOBILE,Utilities
SHAW,Utilities
ATCO,Utilities
ENMAX,Utilities
DIRECT ENERGY,Utilities
JUST ENERGY,Utilities
EPCOR,Utilities
FORTIS BC,Utilities
BC HYDRO,Utilities
HYDRO ONE,Utilities
SASKPOWER,Utilities
MANITOBA HYDRO,Utilities
NETFLIX,Utilities
SPOTIFY,Utilities
DISNEY PLUS,Utilities
AMAZON PRIME,Utilities
CRAVE,Utilities
APPLE MUSIC,Utilities
YOUTUBE PREMIUM,Utilities
INTACT INSURANCE,Utilities
TD INSURANCE,Utilities
DESJARDINS INSURANCE,Utilities
MANULIFE,Utilities
SUN LIFE,Utilities
CANADA LIFE,Utilities
BELAIRDIRECT,Utilities
AVIVA,Utilities
ECONOMICAL INSURANCE,Utilities
SHOPPERS DRUG MART,Health
REXALL,Health
LONDON DRUGS,Health
LAWTONS DRUGS,Health
PHARMASAVE,Health
JEAN COUTU,Health
GOODLIFE FITNESS,Health
PLANET FITNESS,Health
F45 TRAINING,Health
ORANGETHEORY FITNESS,Health
ANYTIME FITNESS,Health
GYMVMT,Health
CINEPLEX,Entertainment
SILVERCITY,Entertainment
LANDMARK CINEMAS,Entertainment
TICKETMASTER,Entertainment
STUBHUB,Entertainment
STEAM,Entertainment
PLAYSTATION STORE,Entertainment
XBOX,Entertainment
NINTENDO ESHOP,Entertainment
CANADA'S WONDERLAND,Entertainment
CALAWAY PARK,Entertainment
TELUS SPARK,Entertainment
WEST EDMONTON MALL,Entertainment
BOWLERO,Entertainment
PETRO-CANADA,Transport
ESSO,Transport
SHELL,Transport
HUSKY,Transport
UBER,Transport
LYFT,Transport
VIA RAIL,Transport
GO TRANSIT,Transport
TTC,Transport
CALGARY TRANSIT,Transport
TRANSLINK,Transport
ENTERPRISE RENT-A-CAR,Transport
NATIONAL CAR RENTAL,Transport
BUDGET RENT A CAR,Transport
TURO,Transport
SAIT,Education
UNIVERSITY OF CALGARY,Education
UNIVERSITY OF TORONTO,Education
MCGILL UNIVERSITY,Education
UNIVERSITY OF BRITISH COLUMBIA,Education
ONTARIO TECH UNIVERSITY,Education
CONESTOGA COLLEGE,Education
SENECA COLLEGE,Education
COURSERA,Education
UDEMY,Education
NATIONAL STUDENT LOANS SERVICE CENTRE,Education
BOARDWALK REIT,Rent/Mortgage
CAPREIT,Rent/Mortgage
MINTO APARTMENTS,Rent/Mortgage
MCAP,Rent/Mortgage
FIRST NATIONAL FINANCIAL,Rent/Mortgage
CANADA REVENUE AGENCY,Other
SERVICE ONTARIO,Other
ALBERTA REGISTRIES,Other
REGISTRY EXPRESS,Other
AIR CANADA,Other
WESTJET,Other
EXPEDIA,Other
BOOKING.COM,Other
AIRBNB,Other
CANADIAN RED CROSS,Other
UNITED WAY,Other
